show_id,director
70130445,Angus Benfield
81001494,AdÃ¡n Medrano
81077065,Herbert Ross
80991570,Jim Gardner
80184129,
60000861,Ben Stiller
1151375,Sylvain White
80187228,Sanket Prakash Pavse
81031008,Dan Curtis
70099119,
70039185,
81165769,
70056433,Greg Kwedar
70113003,
60031232,Gabriel Silverman
80032842,Antonio Negret
81137482,
70043308,Karzan Kader
81165771,"Jeremy Teicher, Alexi Pappas"
70044697,Craig Ross Jr.
70105368,"Rehmat Rayatt, Leva Kwestany"
80241003,Carlos SÃ¡nchez
81141689,
1008581,Geordie Day
70058023,Vikram Sirikonda
81165786,
81165770,
70043303,Maria Ripoll
70136074,Bert I. Gordon
1153194,
70112730,LeAnn Erickson
81154900,
81154956,
81158575,
81065786,
70087541,
81004113,
81003984,
70024088,Edward Sloman
81005312,Tone Bell
80082969,Stuart Beattie
80994130,
81019924,
81018240,Manny Rodriguez
81013710,
70077076,
81014988,Jo Kastner
80102950,Jay Chapman
80994108,Rob Zombie
70055221,Jay Chapman
81005314,
80242828,Tom Green
81004223,
80198730,
81016043,Robert Stevenson
17672040,
81004162,
81011096,
80188969,Roberto Ãngel Salcedo
80189155,
20254278,Jay Chapman
80189208,
70276596,Manu Boyer
80063025,
70068739,Ra Chezhiyan
80158389,Alfred Hitchcock
80156941,Jonathan Miller
80178543,
70213196,Tim Bell
70052492,Fro Rojas
70036200,
70018513,
80158480,
80105933,
80139506,
80205314,
80133200,"Adam Dufour, Jacob Dufour"
80158545,Sam Newfield
80156939,Frank McDonald
80152537,Matt Askem
80045673,Michael Petroni
70275937,
70101321,Ali Abbas Zafar
70108386,Aubrey Scotto
70074559,Albert Pyun
80162197,Kevin Tenney
80160358,
60034929,
80157134,Jean-Pierre Krief
80141891,J.S. Cardone
80183897,Richard Rush
80177834,Vijay Krishna Acharya
80121855,Rajesh Mohanan Nair
80168028,
80200913,Martha Coolidge
80190990,Charles Walters
80173269,Robert Florey
80106140,Gordon Parks Jr.
80106137,Kyle Clark
80118873,Steve Asquith
70229514,Rob Silvestri
80114155,David Stoten
70303288,Rob Silvestri
80118841,
80102579,
80111273,
80111710,
80114419,
80128337,Lance Mungia
70303289,Gil Junger
80111614,Gil Junger
80111275,Susanna Bier
80103426,Erle C. Kenton
80118889,William Wyler
70278877,
80244311,
81183570,Isao Yukisada
80216665,Ralph Ziman
81016328,Aidan Belizaire
80239503,Ted Tetzlaff
81016321,Alexandre Moors
80995737,
81021976,Mark Knight
81020161,Mark Knight
80025390,Mark Knight
80196216,Mark Knight
80115464,
80113144,Russell Holt
80041653,Neko Sparks
81016338,"Angelo J. Guglielmo,  Jr."
81002592,George Archainbaud
81017724,Tom Harper
80174918,
80170301,
80215730,Stephen Cone
81161487,David Mamet
81177367,
81016323,John Zaritsky
80198511,Robin Hardy
81016318,
80240840,Martin R Smith
80191369,Robert Child
80242081,Robert Luketic
80168222,King Vidor
80999063,Mark Jean
80220650,
80164032,Andrew Patterson
81158574,
80237905,
81132440,William Nigh
80117803,Loki Mulholland
81021243,
81004460,Joanne Hock
81016330,
70105130,
81010662,
80141858,"Terry L. Noss, Richard Rich"
81084225,Stephan Schultze
80203920,Martin KrejcÃ­
80242051,
80199806,
80084834,
80208273,
80145699,
80204927,
70266684,
81166978,
81177371,
81167029,Roger Corman
81142594,Pascal Laugier
70067230,Wei-Hao Cheng
80207446,"Jordan Leondopoulos, John C. Broderick, John Shade"
80207447,Swami Tadatmananda
80987753,
81016324,"Matt Servo, Troy McDonald, Laurel Dalgleish, Brett Jubinville"
80192097,Eric Bilitch
80217066,Tony Waters
70002129,Robin Parsons
80191963,
80218099,James Melkonian
80199767,
80191665,David Jackson
80161921,Evan Oppenheimer
81148672,AndrÃ© Pellenz
81169914,B. Harrison Smith
80224362,Joanna Hogg
80092857,
81110394,Henry King
80067754,Aleksey Tsitsilin
80189954,
80094648,
80066073,
80123740,Jay Chapman
80123741,
80094260,Oceanic Research Group
80123742,Jean van de Velde
81197399,Robin Pront
81000863,Shawn Cunningham
70082255,
80197912,John Sayles
80117454,Norman Z. McLeod
80095197,
80045783,"Elliot Weaver, Zander Weaver"
81185502,Carter Smith
81123469,
80211622,
80990221,
80202352,Galt Neiderhoffer
80235268,
81025088,Hao Wu
80173479,
80081372,Jamal (Jay) Sommerville aka The God i.e.
81136744,Paul Schneider
80221210,
81132444,
80182014,Mario Andreacchio
81010786,Henry Hathaway
81105406,Baeble Music
81121023,Howard Higgin
81061828,
81062582,Stephen Frears
81017316,
81018455,Yen-Ping Chu
81110383,
81200228,
70218316,Neena Nejad and Xoel Pamos
80995073,Jimmy Henderson
81018183,The Pop Ups
80064515,
80062011,Rupert Julian
80197462,Elizabeth Rohrbaugh
81034741,"Jefferson Moore, Shane Sooter"
81075461,Mark Deimel
80205231,Simon Egan
80235864,
80158919,Harold Trompetero
80135414,Alan J. Pakula
70258566,
80017261,
81038022,"Howard Kress, Harold F. Kress"
80186796,
81071891,Herbert Ross
80224536,George McCowan
81017545,Timothy Woodward Jr.
80994444,Arther HIller
80017286,
70295169,
80039050,
81027753,Gene Saks
15815343,Jerry Lewis
70295176,
81043190,
80131240,Lewis Milestone
70170182,
70082633,"Matt Jones, Dave Hill"
70049619,Christian Sesma
80211135,Diane Paloma Eskenazi
70109884,
70176967,
70198040,
80038442,
80091310,Edward A. Kull
70114484,
80169350,
80066079,Mark Lewis
80117443,
80010717,Bart Freundlich
81020005,Anna Sofaer
81035748,Clare Lewins
80135164,
80184569,
80113669,BRB International
80222133,Seth Breedlove
81029301,
81025218,Fred Dekker
81025251,Chris Cofer
81025309,Brett Simmons
81025263,"Manuel Sicilia, Raul Garcia"
81025361,Albert Herman
81094801,
80218973,"Stanislav Sokolov, Derek W. Hayes"
80235999,
80215419,
80236359,Mark Knight
70118860,
80017240,
70118859,
80236356,Marcus Adams
80236778,David Guy Levy
80236470,Marc Berlin
70213237,
80236357,Robert N. Bradbury
699257,Joseph Kane
80237311,Shinpei Miyashita
80236574,Shinpei Miyashita
80039069,Maury Thompson
80046779,Maury Thompson
60001650,
81172848,
81034575,Richard Pearce
81025800,Lynn Roth
81003997,Mark Osborne
80207486,
80226951,William Wyler
80216677,
80232279,William Wyler
80239666,Baeble Music
81011973,
81031037,Benjamin May
80144152,Andrew Jones
81035749,Sean Patrick O'Reilly
81035750,Matthew Holmes
81035751,Piotr Szkopiak
80148162,
80211465,Todd Nilssen
80171705,Anthony C. Ferrante
81172729,
81172895,
80206910,
81172905,Samuel Bischoff
80178724,Isaac Halasima
81132442,Delbert Mann
81020066,Joe Talbot
81193245,Logan Bush
81172723,Orson Welles
80990336,Jerry Lewis
81172909,James Marsh
80994011,Lone Scherfig
81172902,
80998890,Dan Krauss
81047903,S. Roy Luby
81026343,Chang Cheh
70125931,Norman Z. McLeod
80222326,
70235768,
80177406,Daniel Barber
81077044,
81053240,Thomas Lucas
81167011,Elmer Clifton
80043834,Derrick Borte
81157840,Kenny Golde
80244900,Richard Fleischer
80211134,Peter Collinson
70271601,
80136786,Allan Dwan
80136788,"Derek Richards, Brad O'Connor"
80136787,
80136454,Andrea Di Stefano
80204433,
80089199,
80043049,Mary Lambert
80044545,"David Alvarado, Jason Sussberg"
80070182,
80176234,Matthew Wolfe
80992769,"Harry Thomason, Nickolas Perry"
81191228,
81192594,Bornila Chatterjee
81006356,
81025935,Iris Shim
81020508,
80201824,David Attwood
80203782,Tom Putnam
80201829,
80126016,Jeremy Lutter
80202089,Baeble Music
80203789,
80193423,
80201825,Ted Hallock
80028360,Brett Haley
80203783,
80142617,
80201823,Daniel Farrands
80190841,Sheldon Lettich
80115858,
80183199,Paul Van Carter
80158547,
80206827,Steven Luke
80202090,"Arhtur Lubin, Arthur Lubin"
80203790,
80158391,
80201822,
80123743,
70258995,David Batty
70208801,"Michael Palmieri, Donal Mosher"
70260383,Chet Brewster
80123744,
70204970,David Yuzuk
70105699,Johannes Nyholm
70124999,
80088507,
80080727,Rick Beyer
80990869,William Witney
80187205,
80097472,Karel Reisz
80075009,Martin Ritt
70293417,
70280748,
81034012,
81191500,Greydon Clark
81019031,A. Edward Sutherland
80148070,David Sington
80155812,
80183198,Kevin Knoblock
80164456,
80174434,
80075476,George Waggner
80158148,Tom Jennings
80119451,
80239565,
80187722,William Nigh
81021082,Lulu Wang
80201868,D.C. Hamilton
80189221,William Witney
80240972,Jon Garcia
80103282,
80134526,
80127559,
80005501,Dane Wilson
81132441,Jeffrey Schwarz
81078819,Ken Scott
80223997,
81191666,
81133621,
81038598,
81016322,Bruce Brown
81015994,
80198288,
80147323,David Lynch
81172568,Richard Friedenberg
81171871,Clarence Brown
81019771,Peter Flynn
80210932,
81003880,Mario Andreacchio
81015317,Tony Randel
80205204,Aziz Jindani
70245168,
70235731,Billy Senese
80003481,Michael McCaffrey
81168338,Michael McCaffrey
81103033,Albert Herman
60002273,
70297962,Dan Bush
269880,
60029167,
60020891,Andrew Jones
347365,Juliane Block
60003242,Matthew Currie Holmes
60027726,M.A. Taylor
81166946,Freddie Francis
81167065,Joseph Kane
81113888,"H.C. Potter, Stuart Heisler, William Wyler"
70023961,Brian Jun
60027716,"Melvin Frank, Norman Panama"
70287957,Bernard Vorhaus
81113890,David Greene
81168345,Timothy A. Smith
60020892,Ron Scalpello
81164752,Lewin Webb
81113886,Joel Oliansky
60028097,Marcus Dunstan
70065112,Antony Smith
70083108,Terry Ingram
70184050,Diane Paloma Eskenazi
81168347,John Stephenson
81003460,Simon Curtis
81113887,
81168348,
70095135,John Sturges
81168340,"Brett Jubinville, Laurel Dalgleish"
60023597,"Aaron Cadieux, Manny Famolare"
81002876,Mark Robson
70058017,Seth Breedlove
70058024,Mario Ribero Ferreira
70011211,John N. Smith
70271599,
70020699,
60003540,
1181550,
70170051,Norman Stone
80987077,Martha Burr
70021630,Roy Battersby
81043753,Henry Koster
60001761,Ida Lupino
70041963,
70058025,Phil Karlson
70128696,
70077542,
81168342,
81165772,
510854,
60000921,Andrew Renzi
80188730,Louise Osmond
81167083,Ken Kwapis
81168343,Don Coscarelli
70044605,Malcolm Leo
18021979,Rich Cowan
81168344,Eran Kolirin
70020750,
70105596,
60037022,Sue Lyon
60034571,Daniel Zirilli
81167047,Mikkel BrÃ¦nne Sandemose
70053456,Josef Rusnak
80173150,Baeble Music
81168341,
81168346,Ib Melchior
80137461,Callie T. Wiser
81012857,Joseph J Graber
70123116,
80190101,
81024712,
70112494,
80215922,
70113306,
70113305,
80032472,Alfred Zeisler
81024703,
81012402,John Huston
70181653,Ralph Staub
80048200,
81025884,
80032474,Albert S. Rogell
80032476,
70127589,"Luis Libran, Carl June"
80225696,Liu Chia-liang
80104130,Ernst Lubitsc
80032473,Damon Gameau
70090035,Anubhav Sushila Sinha
81024713,Anubhav Sushila Sinha
70117268,Baeble Music
70211216,
70140322,Joseph Kane
81024696,Tester
70303428,"Don Bitters, Geoff Reisner"
70125882,Roy William Neill
70101039,Earl Goshorn
70123121,Mitsuru Hongo
80152182,
70229042,Brian Vance
70042756,
80187618,
81024704,Sameh Zoabi
70229047,Bauddhayan Mukherji
70229555,Doug Campbell
70213515,
81018563,Blaine Thurier
81018565,
70114948,
80190103,Bobby J. Brown
81024729,
81012427,Matt Danner
80032477,Matt Danner
81024711,
81025908,Eric Schwartz
70303495,
70303429,Robert Hill
80084768,H. Bruce Humberstone
70096752,Harry Watt
70229046,
80084767,Adrian Younge
81024701,C S Amudhan
81031355,Jeremy Haft
70229048,
70292836,
80141767,Andrew Waller
70139542,
70039175,Milind Zumber Kavde
70225597,"Enrique Gato, David Alonso"
70123119,Aaron Michael
70150437,
80084667,Mark Knight
70099118,Mark Knight
81024705,Mark Knight DIrector
80198771,Surender Reddy
80062096,Surrender Reddy
70291096,Surrender Reddy
70130483,Surrender Reddy
80031038,
80065930,Sam Newfield
80112370,Cannis Holder
70165189,
70197459,
80095193,
70246439,Matthew Cooke
80158155,
80202539,
80063617,
80191075,
80204401,
80202503,
70257412,Rick Rosenthal
80118280,
80135360,Morgan Spurlock
70286355,Morgan Spurlock
80150246,Super JoJo
80156995,Bruce Legg
80017272,Bruce Legg
80075828,Bruce Legg
80095089,Bruce Legg
80208176,Bruce Legg
80116741,John Sayles
80204400,
80063290,
80187223,Michael Dominic
80190518,REEL
80002999,Mark Knight
80157275,Timothy Galfas
80162195,
80106036,Robert N. Bradbury
80198687,Henry Hathaway
80162246,
80112371,
80189209,"Raoul W. Heimrich, Yvonne Wunschel"
80208413,Sharat Katariya
80111818,Naranippuzha Shanavas
80116939,
80128277,Punit Malhotra
80094453,Daniel Millican
80128338,
80111650,"Dania Pasquini, Max Giwa"
70153553,Anthony Mann
80111554,Fred Wolf
80098709,
80111556,
80092849,Sam Newfield
80107372,Arthur van Merwijk
80138584,Shawn Seet
80006232,
80106138,
70205018,
80111683,
80038288,Jonathan Demme
80109089,Conor McMahon
80061797,Tommy Walton
80111845,Michael McGowan
80048100,Catlin Adams
70206821,"Jeroen Jaspaert, Daniel Snaddon"
70206816,
60022914,Rick Cikowski
70206818,Steve Hofstetter
70206819,Manny Rodriguez
70206822,
70206820,Jeff Burr
70206823,Harry S. Webb
70206824,King Vidor
70206825,Mark Obenhaus
70206826,Tristan Dubois
81029831,
80194289,
80191219,
81005091,
80169786,
80190859,
80218634,
81022683,
80114869,Derek Wayne Johnson
80057250,
70243445,Doug Campbell
80201542,
81079723,Karen Lam
81003058,John Ford
80236993,Frank Borzage
80057565,William Witney
81016857,Uri Barbash
81002596,Phil Rosen
81002597,
80148275,
80127886,
80176771,Michael J.F. Scott
80080491,Laura Fairrie
80046777,
60024976,
80185003,StÃ©phane Rybojad
80173002,
81092045,Joseph Kane
81153751,"David Allensworth, MoniÃ¨re"
81034600,Mark Knight
81209203,Mark Knight
81058497,Mark Knight
80167628,Mark Knioght
81165326,Luv Ranjan
81053961,
81142595,
81029848,Kate Barker-Froyland
80225421,Jim Henson
80204460,Joseph Kane
70209267,Joseph Kane
70306305,Frank McDonald
70262831,William Nigh
70113005,Rowland V. Lee
70052286,Carl Hunter
80114460,Victor Schertzinger
81206389,Ice-T
80117461,
80127600,
81193313,Dan Wolman
81197050,Max Ksjonda
81213894,John Reinhardt
80205593,Theresa Bennett
80238204,Michael Hoffman
80230507,Tom Vaughan
81041515,
80191074,
80990725,Sheldon Cohen
81016327,Marco Deufemia
81004245,Chris Koch
81033200,
81002951,
81039383,
81018377,
81021528,Melanie Mayron
80991809,George Erschbamer
70117294,Vikram Phadnis
70117582,Stuart Heisler
80163294,Joe Dante
80119411,
81082007,
81172754,David van Eyssen
81120982,Baeble Music
81227195,Elliott Lester
81172841,Don McLennan
81172899,Barnet Kellman
81094391,"Robert F. Hill & Sam Katzman, Robert F. Hill, Sam Katzman"
81172908,Daniel Knudsen
81152641,
81172901,Pi Ware
81033086,Monty Miranda
80156799,Neville Shah
80997965,
81018979,"Ralph Straub, Ralph Staub"
60020826,John Ferry
80226242,Teja
70101696,
81194544,Christian Trumble
80995081,Cannis Holder
81177504,
80175798,
80216094,Lewis D. Collins
80227995,
80239961,Cannis Holder
80219019,Cannis Holder
81062293,Cannis Holder
80235524,John Huston
81035121,Jay Chapman
81140259,Habib Azar
80241855,
81215481,Peter Svatek
80147529,Edward F. Finney
81018860,Thomas Bentley
80141787,
80109415,
80049871,
81218079,Robert Child
60028294,Robert Orlando
80125671,Hemant Madhukar
80198001,Hemant Madhukar
80174220,
80103512,
80199051,Moonbug Entertainment
80198545,Matthew Ross
60020948,
70235384,Cess Silvera
569355,"Rahul V. Chittella, Amira Bhargava, Annie Zaidi, Pratik Rajen Kothari, Supriya Sharma, Arunima Sharma, Satish Raj Kasireddi"
81208888,
60022645,
80235857,Ajay Devgn
80225915,
80196379,Mark Knight
80198859,
80216180,Douglas Hickox
80244846,Roy William Neill
80159876,Roy William Neill
70091304,
80244700,Vernon Snoop Robinson
81218074,Desmond Devenish
80245262,
80199682,
80214115,Anthony C. Ferrante
80203522,Anthony C. Ferrante
80097141,Christian Darkin
80107037,Moonbug Entertainment
80077402,Hsin-Yen Chang
80107219,Jay Chapman
60023606,Anu Menon
80241539,
81026188,
80080109,Michael Winnick
80993625,
80988835,"Nick Bicanic, Jason Bourque"
80208104,Jagdeep Singh
80134827,Padmasri
80127558,Isaac Feder
80158084,Monja Art
80124725,
70267398,
81152643,
80108983,
292118,Howard Avedis
70003046,
80221584,Melissa Finell
70053833,Brad Silverman
70122722,
81217738,Tayarisha Poe
80081990,Ken Burns
60004471,
60022413,Boaz Davidson
81011957,Ajay Bahl
70058022,
60022502,
80244683,David Allen
80028357,
81217739,Howard Bretherton
60031884,
70117289,
28631236,Alex Marengo
70121502,
70215455,Austin Everett
506464,
60003508,Mark Knight
70105132,
60004083,Steven Zaillian
70087538,Mike Edwards
1181661,
60011552,
70044693,Nico Edwards
70173046,
70039187,
70044686,
80180600,Rand Marsh
80989043,
81021831,Allison Eckert
81021832,
80201866,
80239932,
81215856,Stewart Wade
81214223,Kanak Mishra
80045925,Chandoo Mondeti
80027560,Baeble Music
70135899,Jeffrey G. Hunt
81215437,Johnny Remo
81215438,Chioke Nassor
81214187,
80160987,Jay Karas
81215439,Jarett Bellucci
70178618,ClenÃ©t Verdi-Rose
70292700,John English
81214214,Michael Carney
81020531,
80215086,Charles Lamont
80242446,Arthur Greville Collins
80241877,Sethuraman
80085566,Ryan Little
80124722,Siddharth Vasani
70243696,
70243692,Sujeeth
81073633,Sujeeth
81152642,Sujeeth
81105522,Sujeeth
70230138,
70083532,Milton Lage
80177865,Ajay Bhupathi
80117534,
80115031,Ravi Varma
80120640,
80079470,Steven Stainberg
70127998,David L. Cunningham
81191473,Nancy Criss
81019520,
80160504,"Catherine Bainbridge, Alfonso Maiorana (Co-Director)"
80158168,Nick Nanton
80160759,
80209608,Gordon Anderson
80182622,
80175694,
80016471,Scott Sikma
80123729,
70189289,Michael Hurst
80013267,
80046819,Henry King
70293315,
80177400,Joseph Kane
81037898,William Wyler
80997085,William Berke
81004099,
80200267,
80242926,Thadd Turner
80216621,
70113538,Allan Dwan
81179844,Andrew Jones
80244457,Rob Schneider
81196441,
81162089,Alfredo Ramos
81217737,
81076114,
80217594,Andy Casagrande
81033650,Chris Gorak
80093820,John English
80183187,Robert N. Bradbury
81179882,Helen Hunt
70124331,Michael Pack
81179821,
81033645,
81217749,
80238391,
70291121,
80242491,David Pritchard
81179864,
81035105,"Jodi Flynn, Brent Montgomery"
81018295,Keith Truesdell
80224054,
81038832,Nigel Simpkiss
81035109,
81030893,
81035104,John H. Auer
80075824,Sockeye Media LLC
81035108,
81035107,Fred Jackman
81028556,
81028574,Chadd Harbold
81028560,
80196044,
80122177,Jimmy Shaw
80136925,Stephan Blinn
70040076,
80009361,
80166471,Al Herman
80119125,"Julie Nimoy, David Knight"
80117532,Nathan Mowery
70260514,Mark Knight
80127995,Mark Knight
81156627,Mark Knight
81096745,
81163776,Arthur Dreifuss
80191804,Gary Lundgren
80191109,Ernesto Diaz Espinoza
80004534,
70213466,
81034946,Izhak Hanooka
80222787,George Marshall
80244848,Terry Miles
80193978,Maria Agui Carter
80147403,
80058424,
80049065,Lou Antonio
81078466,
80060034,
80205085,
70117297,Edmond Goulding
81200229,
81152923,
80131563,
80091658,Joseph Kane
70286533,Sukumar
80237420,Uwe Boll
70174733,Uwe Boll
80175822,Jonas Ã…kerlund
80183088,Hannes Rossacher
80198018,"John Matthews, Richard Heap"
80127990,
80134093,Peter Sollett
80134279,
80234414,
70044870,
26597413,Mark Knight
80245356,Max Mannix
81193616,
81082327,"Sam Wood, William Wyler"
18002692,Marjane Satrapi
81024100,Andy Sidaris
60027583,
81184735,Remo Dsouza
60002033,Meghna Gulzar
70046968,
81154982,Mathieu Orcel
81063129,
81074542,Phil Rosen
382650,
70044705,
449931,
81189912,
80215046,
60036838,
81179693,
485218,AK. Reed Films (Amire k reed)
1192866,AK. Reed Films  (Amire k reed)
11819434,Philip Cook
516788,Caroline CÃ´tÃ©
70048968,
542137,
60021796,
60031247,
60000577,
80241387,
70039241,
80227818,
80231468,Sandip Ray
81083786,Neville Shah
80153894,
1179333,Gaurav Seth
70118779,Robert F. Hill
653673,Janson Media
70020947,
70117305,Diane Paloma Eskenazi
701346,
70111489,
709163,Jackson Ducasse
709380,
1150871,
70082264,
81104406,
1179583,
70044595,
60011729,Christopher Bell
70044883,Murali Ramaswamy
22497725,
60021590,Wes Miller
60023638,
81075744,
70031792,Timothy Linh Bui
70100383,
60002403,Steven E. de Souza
17236920,Kirk Douglas
923574,
81152930,Laslo Benedek
973861,James Komach
70058796,Bob Clark
70047101,
81189396,Charlie David
70093991,Paul Powell
60033247,
70060000,
70295067,
70031779,
1178866,Alfonso RodrÃ­guez
60033312,
81030409,"David Holley, Deborah Cardona"
80182016,
684847,Arthur van Merwijk
81150305,
20557937,Jeff Gibbs
60027695,
60031303,Yen Tan
848915,
60022980,Joe Dante
60003961,
81035120,
70060005,
70266992,
80218819,
70084791,
81170694,
70123542,
70107499,
70123117,
70100644,
80057750,
70229045,
70139073,
81024731,Pinkfong
70219525,
16914787,
81020545,
80039595,
70123120,
80224055,
70052249,
70084775,
70114588,
70185139,
80232501,
80210147,
80224606,
80058851,
80175945,
70219528,Sean LaFollette
80241947,"Tommy Vance, Graham McTavish"
70241088,
70068799,
70229044,
70254349,Ritesh Batra
70254342,
80084838,
70254346,Dan Milner
70229040,Ash Christian
70056663,Rohin Venkatesan
80067906,
70071832,Milton Lage
70273401,John Asher
80097390,Tom Tykwer
70106268,
80039594,
70139076,Eashvar Karthic
70109758,Eashvar Karthic
70123126,PÃ©ter Engert
70303431,
70254351,
70275076,
80189997,
81015100,Adrian Cale
80076581,Bobby Roth
81014239,Uli Edel
81025404,
80182949,
70060017,Gil Cunha
70266675,
80155792,
70108590,
81024728,R.S Durai Senthilkumar
70185141,
80201826,
80158388,
80203778,Jim Jarmusch
80201820,Jan Eliasberg
80103312,
80202605,Nicolas Breton
80203791,Spike Lee
80079229,Victor Halperin
80080145,
80198850,
80216270,Alex Gibney
80157797,Philippe Lefebvre
80032364,Prosit Roy
80203786,
80032097,
80156684,Michael Moore
80187302,Carl Pierson
80174727,Carl Pierson
80157276,Robert Connolly
80157297,William Beaudine
80157566,James Erskine
80157488,
80157714,
80201827,Eugenio Martin
80179288,
80203780,
80216215,
80211371,Anees Bazmee
80144358,Sanjay Leela Bhansali
80111881,Zac Crouse
80112186,David Albala
80112079,David Albala
80112077,
